País,Clics,Impresiones,CTR,Posición
España,48,112,42.86%,9.76
Estados Unidos,2,7,28.57%,3.57
Francia,0,12,0%,6.08
Japón,0,12,0%,6.5
Uruguay,0,7,0%,3
Perú,0,5,0%,1.4
Argentina,0,3,0%,1.33
Colombia,0,3,0%,1.67
México,0,3,0%,2
Filipinas,0,3,0%,4.67
Italia,0,3,0%,8.67
Alemania,0,3,0%,11
Chile,0,2,0%,1.5
Reino Unido,0,2,0%,1.5
Bélgica,0,2,0%,6
Bolivia,0,1,0%,1
Brasil,0,1,0%,1
Ecuador,0,1,0%,1
Taiwán,0,1,0%,1
Australia,0,1,0%,2
Marruecos,0,1,0%,2
Nueva Zelanda,0,1,0%,9
Uzbekistán,0,1,0%,10
Vietnam,0,1,0%,12
